workload,renderer,order,metric,raw_direction,previous_main,candidate,improvement_percent,gate
PGR2-FRESH,VULKAN,primary,cadence_per_second,+good,29.995487,30.000011,0.015082,PASS
PGR2-FRESH,VULKAN,primary,average_interval_ms,+bad,33.337957,33.332993,0.014889,PASS
PGR2-FRESH,VULKAN,primary,p95_ms,+bad,33.593500,33.476500,0.348282,PASS
PGR2-FRESH,VULKAN,primary,p99_ms,+bad,34.337000,34.324500,0.036404,PASS
PGR2-FRESH,VULKAN,primary,max_ms,+bad,42.284500,40.489500,4.245054,PASS
PGR2-FRESH,VULKAN,primary,stall_count,+bad,0.000000,0.000000,0.000000,PASS
PGR2-FRESH,OPENGL,primary,cadence_per_second,+good,29.999943,29.999880,-0.000211,PASS
PGR2-FRESH,OPENGL,primary,average_interval_ms,+bad,33.333435,33.333450,-0.000044,PASS
PGR2-FRESH,OPENGL,primary,p95_ms,+bad,33.552000,33.731500,-0.534990,PASS
PGR2-FRESH,OPENGL,primary,p99_ms,+bad,34.302000,34.324500,-0.065594,PASS
PGR2-FRESH,OPENGL,primary,max_ms,+bad,43.342500,41.736500,3.705370,PASS
PGR2-FRESH,OPENGL,primary,stall_count,+bad,0.000000,0.000000,0.000000,PASS
PGR2-SNAPSHOT,VULKAN,primary,cadence_per_second,+good,29.073201,28.965341,-0.370995,PASS
PGR2-SNAPSHOT,VULKAN,primary,average_interval_ms,+bad,34.346765,34.513560,-0.485621,PASS
PGR2-SNAPSHOT,VULKAN,primary,p95_ms,+bad,41.096000,41.497500,-0.976981,PASS
PGR2-SNAPSHOT,VULKAN,primary,p99_ms,+bad,45.503000,45.738500,-0.517548,PASS
PGR2-SNAPSHOT,VULKAN,primary,max_ms,+bad,63.235500,71.197500,-12.591029,FAIL
PGR2-SNAPSHOT,VULKAN,primary,stall_count,+bad,0.000000,0.000000,0.000000,PASS
PGR2-SNAPSHOT,VULKAN,reverse_repeat,cadence_per_second,+good,29.312925,29.196519,-0.397115,PASS
PGR2-SNAPSHOT,VULKAN,reverse_repeat,average_interval_ms,+bad,34.088697,34.229699,-0.413634,PASS
PGR2-SNAPSHOT,VULKAN,reverse_repeat,p95_ms,+bad,40.440500,40.621000,-0.446335,PASS
PGR2-SNAPSHOT,VULKAN,reverse_repeat,p99_ms,+bad,44.838500,45.385500,-1.219934,PASS
PGR2-SNAPSHOT,VULKAN,reverse_repeat,max_ms,+bad,60.175000,66.328500,-10.226007,FAIL
PGR2-SNAPSHOT,VULKAN,reverse_repeat,stall_count,+bad,0.000000,0.000000,0.000000,PASS
PGR2-SNAPSHOT,OPENGL,primary,cadence_per_second,+good,29.000169,28.655314,-1.189146,PASS
PGR2-SNAPSHOT,OPENGL,primary,average_interval_ms,+bad,34.498459,34.900050,-1.164083,PASS
PGR2-SNAPSHOT,OPENGL,primary,p95_ms,+bad,41.908000,42.590000,-1.627374,PASS
PGR2-SNAPSHOT,OPENGL,primary,p99_ms,+bad,46.420000,46.707000,-0.618268,PASS
PGR2-SNAPSHOT,OPENGL,primary,max_ms,+bad,81.813000,56.550000,30.878956,PASS
PGR2-SNAPSHOT,OPENGL,primary,stall_count,+bad,1.000000,0.000000,100.000000,PASS
MORROWIND-SNAPSHOT,VULKAN,primary,cadence_per_second,+good,24.416434,24.478685,0.254955,PASS
MORROWIND-SNAPSHOT,VULKAN,primary,average_interval_ms,+bad,40.956036,40.853274,0.250908,PASS
MORROWIND-SNAPSHOT,VULKAN,primary,p95_ms,+bad,47.687500,47.367500,0.671035,PASS
MORROWIND-SNAPSHOT,VULKAN,primary,p99_ms,+bad,53.356500,52.910500,0.835887,PASS
MORROWIND-SNAPSHOT,VULKAN,primary,max_ms,+bad,60.456500,60.991500,-0.884934,PASS
MORROWIND-SNAPSHOT,VULKAN,primary,stall_count,+bad,0.000000,0.000000,0.000000,PASS
MORROWIND-SNAPSHOT,OPENGL,primary,cadence_per_second,+good,33.716953,33.745331,0.084167,PASS
MORROWIND-SNAPSHOT,OPENGL,primary,average_interval_ms,+bad,29.666090,29.634207,0.107472,PASS
MORROWIND-SNAPSHOT,OPENGL,primary,p95_ms,+bad,36.361500,37.110500,-2.059871,FAIL
MORROWIND-SNAPSHOT,OPENGL,primary,p99_ms,+bad,42.009000,41.203000,1.918636,PASS
MORROWIND-SNAPSHOT,OPENGL,primary,max_ms,+bad,46.740000,47.835500,-2.343817,FAIL
MORROWIND-SNAPSHOT,OPENGL,primary,stall_count,+bad,0.000000,0.000000,0.000000,PASS
MORROWIND-SNAPSHOT,OPENGL,reverse_repeat,cadence_per_second,+good,33.393907,33.511309,0.351567,PASS
MORROWIND-SNAPSHOT,OPENGL,reverse_repeat,average_interval_ms,+bad,29.946138,29.840678,0.352164,PASS
MORROWIND-SNAPSHOT,OPENGL,reverse_repeat,p95_ms,+bad,37.216000,36.863000,0.948517,PASS
MORROWIND-SNAPSHOT,OPENGL,reverse_repeat,p99_ms,+bad,42.162500,42.280000,-0.278684,PASS
MORROWIND-SNAPSHOT,OPENGL,reverse_repeat,max_ms,+bad,48.356500,50.999000,-5.464622,FAIL
MORROWIND-SNAPSHOT,OPENGL,reverse_repeat,stall_count,+bad,0.000000,0.000000,0.000000,PASS
